sale_id,product_id,customer_id,sale_price,quantity,sale_date,total_amount,VIP_status
1001,P101,C_001,150.0,2,2023-01-15,300.0,Non-VIP
1002,P102,C_002,75.0,3,,225.0,Non-VIP
1003,P103,C_001,250.5,1,2023-01-25,250.5,Non-VIP
1004,P101,C_003,150.0,4,2023-02-01,600.0,Non-VIP
1005,P104,C_004,30.0,1,2023-02-05,30.0,Non-VIP
1006,P102,C_005,75.0,2,2023-02-10,150.0,Non-VIP
1007,P105,C_003,120.0,1,,120.0,Non-VIP
1008,P101,C_006,150.0,3,2023-02-20,450.0,Non-VIP
1009,P103,C_007,,2,2023-02-25,,Non-VIP
1010,P104,C_008,30.0,5,2023-03-01,150.0,Non-VIP
1011,P102,C_009,75.0,1,2023-03-05,75.0,Non-VIP
1012,P105,C_001,120.0,3,2023-03-10,360.0,Non-VIP
1013,P103,C_010,250.5,1,2023-03-15,250.5,Non-VIP
1014,P101,C_014,,3,2023-02-01,,Non-VIP
1015,P102,C_024,,1,2023-03-11,,VIP
1016,P105,C_065,150.0,1,2023-01-12,150.0,VIP
1017,P102,C_075,120.0,1,2023-03-13,120.0,VIP
1018,P105,C_064,75.0,4,,300.0,VIP
1019,P101,C_031,,4,,,VIP
1020,P102,C_038,250.5,1,2023-12-01,250.5,Non-VIP
1021,P101,C_056,250.5,5,2023-02-03,1252.5,VIP
1022,P104,C_079,150.0,4,2023-01-11,600.0,VIP
1023,P103,C_091,120.0,3,2023-03-15,360.0,Non-VIP
1024,P101,C_016,,2,2023-02-07,,VIP
1025,P102,C_023,30.0,3,2023-02-28,90.0,VIP
1026,P103,C_031,250.5,3,2023-01-27,751.5,VIP
1027,P103,C_098,,1,2023-03-19,,VIP
1028,P102,C_079,,2,,,VIP
1029,P104,C_045,,1,2023-03-13,,Non-VIP
1030,P103,C_018,75.0,1,2023-10-02,75.0,Non-VIP
1031,P103,C_019,75.0,5,2023-02-10,375.0,VIP
1032,P104,C_061,,4,,,VIP
1033,P102,C_042,,5,2023-10-03,,VIP
1034,P105,C_065,120.0,4,2023-02-16,480.0,VIP
1035,P102,C_076,30.0,1,2023-01-07,30.0,VIP
1036,P102,C_091,75.0,1,2023-02-24,75.0,Non-VIP
1037,P101,C_060,30.0,5,2023-03-01,150.0,VIP
1038,P103,C_081,150.0,1,2023-01-15,150.0,VIP
1039,P105,C_045,,3,,,Non-VIP
1040,P104,C_031,30.0,1,2023-02-03,30.0,VIP
1041,P102,C_075,150.0,1,2023-02-08,150.0,VIP
1042,P105,C_088,75.0,2,2023-02-17,150.0,VIP
1043,P105,C_078,150.0,5,2023-11-02,750.0,VIP
1044,P101,C_025,250.5,3,2023-01-31,751.5,VIP
1045,P102,C_083,150.0,1,2023-03-04,150.0,VIP
1046,P105,C_027,75.0,1,2023-03-02,75.0,VIP
1047,P102,C_044,120.0,5,2023-02-24,600.0,VIP
1048,P105,C_099,75.0,1,2023-09-02,75.0,VIP
1049,P103,C_067,120.0,4,2023-01-16,480.0,VIP
1050,P102,C_019,250.5,1,2023-03-17,250.5,VIP
1051,P102,C_086,75.0,1,2023-01-10,75.0,Non-VIP
1052,P101,C_040,150.0,1,2023-02-12,150.0,VIP
1053,P105,C_041,250.5,1,2023-03-04,250.5,VIP
1054,P105,C_027,,5,,,VIP
1055,P102,C_071,30.0,2,2023-01-13,60.0,VIP
1056,P104,C_056,30.0,4,2023-03-01,120.0,VIP
1057,P101,C_097,,1,2023-01-13,,Non-VIP
1058,P104,C_054,150.0,2,2023-01-25,300.0,VIP
1059,P105,C_068,75.0,4,,300.0,VIP
1060,P104,C_042,150.0,4,2023-03-12,600.0,VIP
1061,P101,C_094,120.0,1,2023-01-12,120.0,Non-VIP
1062,P102,C_063,30.0,4,,120.0,Non-VIP
1063,P101,C_032,30.0,1,,30.0,VIP
1064,P104,C_047,30.0,1,2023-03-13,30.0,Non-VIP
